epoch,count,duration_s,holding_mv
1,7,0.6,-60
2,14,0.7,-60
3,21,0.8,-60
4,5,0.9,-60
5,12,0.5,-60
6,19,0.6,-60
7,3,0.7,-60
8,10,0.8,-60
9,17,0.9,-60
10,1,0.5,-60
11,8,0.6,-60
12,15,0.7,-60
13,22,0.8,-60
14,6,0.9,-60
15,13,0.5,-60
16,20,0.6,-60
17,4,0.7,-60
18,11,0.8,-60
19,18,0.9,-60
20,2,0.5,-60
21,9,0.6,-60
22,16,0.7,-60
23,0,0.8,-60
24,7,0.9,-60
25,14,0.5,-60
26,21,0.6,-60
27,5,0.7,-60
28,12,0.8,-60
29,19,0.9,-60
30,3,0.5,-60
31,10,0.6,-60
32,17,0.7,-60
33,1,0.8,-60
34,8,0.9,-60
35,15,0.5,-60
36,22,0.6,-60
37,6,0.7,-60
38,13,0.8,-60
39,20,0.9,-60
40,4,0.5,-60
