cell,contrast_pct,bin_ms,spike_count
c01,10,0,0
c02,20,0,1
c03,30,0,2
c04,40,0,0
c05,50,0,1
c06,10,0,2
c07,20,0,0
c08,30,0,1
c09,40,0,2
c10,50,0,0
c11,10,0,1
c12,20,0,2
c13,30,0,0
c14,40,0,1
c15,50,0,2
c16,10,0,0
c17,20,0,1
c01,30,0,2
c02,40,0,0
c03,50,0,1
c04,10,0,2
c05,20,0,0
c06,30,0,1
c07,40,0,2
c08,50,0,0
c09,10,0,1
c10,20,0,2
c11,30,0,0
c12,40,0,1
c13,50,0,2
c14,10,0,0
c15,20,0,1
c16,30,0,2
c17,40,0,0
c01,50,0,1
c02,10,0,2
c03,20,0,0
c04,30,0,1
c05,40,0,2
c06,50,0,0
c07,10,0,1
c08,20,0,2
c09,30,0,0
c10,40,0,1
c11,50,0,2
c12,10,0,0
c13,20,0,1
c14,30,0,2
c15,40,0,0
c16,50,0,1
c17,10,0,2
c01,20,0,0
c02,30,0,1
c03,40,0,2
c04,50,0,0
c05,10,0,1
c06,20,0,2
c07,30,0,0
c08,40,0,1
c09,50,0,2
c10,10,0,0
c11,20,0,1
c12,30,0,2
c13,40,0,0
c14,50,0,1
c15,10,0,2
c16,20,0,0
c17,30,0,1
c01,40,0,2
c02,50,0,0
c03,10,0,1
c04,20,0,2
c05,30,0,0
c06,40,0,1
c07,50,0,2
c08,10,0,0
c09,20,0,1
c10,30,0,2
c11,40,0,0
c12,50,0,1
c13,10,0,2
c14,20,0,0
c15,30,0,1
c16,40,0,2
c17,50,0,0
c01,10,2,1
c02,20,2,2
c03,30,2,0
c04,40,2,1
c05,50,2,2
c06,10,2,0
c07,20,2,1
c08,30,2,2
c09,40,2,0
c10,50,2,1
c11,10,2,2
c12,20,2,0
c13,30,2,1
c14,40,2,2
c15,50,2,0
c16,10,2,1
c17,20,2,2
c01,30,2,0
c02,40,2,1
c03,50,2,2
c04,10,2,0
c05,20,2,1
c06,30,2,2
c07,40,2,0
c08,50,2,1
c09,10,2,2
c10,20,2,0
c11,30,2,1
c12,40,2,2
c13,50,2,0
c14,10,2,1
c15,20,2,2
c16,30,2,0
c17,40,2,1
c01,50,2,2
c02,10,2,0
c03,20,2,1
c04,30,2,2
c05,40,2,0
c06,50,2,1
c07,10,2,2
c08,20,2,0
c09,30,2,1
c10,40,2,2
c11,50,2,0
c12,10,2,1
c13,20,2,2
c14,30,2,0
c15,40,2,1
c16,50,2,2
c17,10,2,0
c01,20,2,1
c02,30,2,2
c03,40,2,0
c04,50,2,1
c05,10,2,2
c06,20,2,0
c07,30,2,1
c08,40,2,2
c09,50,2,0
c10,10,2,1
c11,20,2,2
c12,30,2,0
c13,40,2,1
c14,50,2,2
c15,10,2,0
c16,20,2,1
c17,30,2,2
c01,40,2,0
c02,50,2,1
c03,10,2,2
c04,20,2,0
c05,30,2,1
c06,40,2,2
c07,50,2,0
c08,10,2,1
c09,20,2,2
c10,30,2,0
c11,40,2,1
c12,50,2,2
c13,10,2,0
c14,20,2,1
c15,30,2,2
c16,40,2,0
c17,50,2,1
