cell,contrast_pct,tau_fast_ms,tau_slow_ms,a_fast,a_slow
c01,10,4.10,39.21,-1.80,-0.90
c02,10,4.11,40.11,-1.78,-0.89
c03,10,4.12,39.51,-1.76,-0.88
c04,10,4.13,40.41,-1.74,-0.87
c05,10,4.14,39.81,-1.80,-0.86
c06,10,4.15,39.21,-1.78,-0.85
c07,10,4.16,40.11,-1.76,-0.90
c08,10,4.10,39.51,-1.74,-0.89
c09,10,4.11,40.41,-1.80,-0.88
c10,10,4.12,39.81,-1.78,-0.87
c11,10,4.13,39.21,-1.76,-0.86
c12,10,4.14,40.11,-1.74,-0.85
c13,10,4.15,39.51,-1.80,-0.90
c14,10,4.16,40.41,-1.78,-0.89
c15,10,4.10,39.81,-1.76,-0.88
c16,10,4.11,39.21,-1.74,-0.87
c17,10,4.12,40.11,-1.80,-0.86
c01,20,4.13,30.72,-1.78,-0.85
c02,20,4.14,31.62,-1.76,-0.90
c03,20,4.15,31.02,-1.74,-0.89
c04,20,4.16,30.42,-1.80,-0.88
c05,20,4.10,31.32,-1.78,-0.87
c06,20,4.11,30.72,-1.76,-0.86
c07,20,4.12,31.62,-1.74,-0.85
c08,20,4.13,31.02,-1.80,-0.90
c09,20,4.14,30.42,-1.78,-0.89
c10,20,4.15,31.32,-1.76,-0.88
c11,20,4.16,30.72,-1.74,-0.87
c12,20,4.10,31.62,-1.80,-0.86
c13,20,4.11,31.02,-1.78,-0.85
c14,20,4.12,30.42,-1.76,-0.90
c15,20,4.13,31.32,-1.74,-0.89
c16,20,4.14,30.72,-1.80,-0.88
c17,20,4.15,31.62,-1.78,-0.87
c01,30,4.16,26.81,-1.76,-0.86
c02,30,4.10,26.21,-1.74,-0.85
c03,30,4.11,27.11,-1.80,-0.90
c04,30,4.12,26.51,-1.78,-0.89
c05,30,4.13,27.41,-1.76,-0.88
c06,30,4.14,26.81,-1.74,-0.87
c07,30,4.15,26.21,-1.80,-0.86
c08,30,4.16,27.11,-1.78,-0.85
c09,30,4.10,26.51,-1.76,-0.90
c10,30,4.11,27.41,-1.74,-0.89
c11,30,4.12,26.81,-1.80,-0.88
c12,30,4.13,26.21,-1.78,-0.87
c13,30,4.14,27.11,-1.76,-0.86
c14,30,4.15,26.51,-1.74,-0.85
c15,30,4.16,27.41,-1.80,-0.90
c16,30,4.10,26.81,-1.78,-0.89
c17,30,4.11,26.21,-1.76,-0.88
c01,40,4.12,24.47,-1.74,-0.87
c02,40,4.13,23.87,-1.80,-0.86
c03,40,4.14,24.77,-1.78,-0.85
c04,40,4.15,24.17,-1.76,-0.90
c05,40,4.16,23.57,-1.74,-0.89
c06,40,4.10,24.47,-1.80,-0.88
c07,40,4.11,23.87,-1.78,-0.87
c08,40,4.12,24.77,-1.76,-0.86
c09,40,4.13,24.17,-1.74,-0.85
c10,40,4.14,23.57,-1.80,-0.90
c11,40,4.15,24.47,-1.78,-0.89
c12,40,4.16,23.87,-1.76,-0.88
c13,40,4.10,24.77,-1.74,-0.87
c14,40,4.11,24.17,-1.80,-0.86
c15,40,4.12,23.57,-1.78,-0.85
c16,40,4.13,24.47,-1.76,-0.90
c17,40,4.14,23.87,-1.74,-0.89
c01,50,4.15,22.90,-1.80,-0.88
c02,50,4.16,22.30,-1.78,-0.87
c03,50,4.10,21.70,-1.76,-0.86
c04,50,4.11,22.60,-1.74,-0.85
c05,50,4.12,22.00,-1.80,-0.90
c06,50,4.13,22.90,-1.78,-0.89
c07,50,4.14,22.30,-1.76,-0.88
c08,50,4.15,21.70,-1.74,-0.87
c09,50,4.16,22.60,-1.80,-0.86
c10,50,4.10,22.00,-1.78,-0.85
c11,50,4.11,22.90,-1.76,-0.90
c12,50,4.12,22.30,-1.74,-0.89
c13,50,4.13,21.70,-1.80,-0.88
c14,50,4.14,22.60,-1.78,-0.87
c15,50,4.15,22.00,-1.76,-0.86
c16,50,4.16,22.90,-1.74,-0.85
c17,50,4.10,22.30,-1.80,-0.90
c01,60,4.11,20.29,-1.78,-0.89
c02,60,4.12,21.19,-1.76,-0.88
c03,60,4.13,20.59,-1.74,-0.87
c04,60,4.14,21.49,-1.80,-0.86
c05,60,4.15,20.89,-1.78,-0.85
c06,60,4.16,20.29,-1.76,-0.90
c07,60,4.10,21.19,-1.74,-0.89
c08,60,4.11,20.59,-1.80,-0.88
c09,60,4.12,21.49,-1.78,-0.87
c10,60,4.13,20.89,-1.76,-0.86
c11,60,4.14,20.29,-1.74,-0.85
c12,60,4.15,21.19,-1.80,-0.90
c13,60,4.16,20.59,-1.78,-0.89
c14,60,4.10,21.49,-1.76,-0.88
c15,60,4.11,20.89,-1.74,-0.87
c16,60,4.12,20.29,-1.80,-0.86
c17,60,4.13,21.19,-1.78,-0.85
c01,70,4.14,19.46,-1.76,-0.90
c02,70,4.15,20.36,-1.74,-0.89
c03,70,4.16,19.76,-1.80,-0.88
c04,70,4.10,19.16,-1.78,-0.87
c05,70,4.11,20.06,-1.76,-0.86
c06,70,4.12,19.46,-1.74,-0.85
c07,70,4.13,20.36,-1.80,-0.90
c08,70,4.14,19.76,-1.78,-0.89
c09,70,4.15,19.16,-1.76,-0.88
c10,70,4.16,20.06,-1.74,-0.87
c11,70,4.10,19.46,-1.80,-0.86
c12,70,4.11,20.36,-1.78,-0.85
c13,70,4.12,19.76,-1.76,-0.90
c14,70,4.13,19.16,-1.74,-0.89
c15,70,4.14,20.06,-1.80,-0.88
c16,70,4.15,19.46,-1.78,-0.87
c17,70,4.16,20.36,-1.76,-0.86
c01,80,4.10,18.83,-1.74,-0.85
c02,80,4.11,18.23,-1.80,-0.90
c03,80,4.12,19.13,-1.78,-0.89
c04,80,4.13,18.53,-1.76,-0.88
c05,80,4.14,19.43,-1.74,-0.87
c06,80,4.15,18.83,-1.80,-0.86
c07,80,4.16,18.23,-1.78,-0.85
c08,80,4.10,19.13,-1.76,-0.90
c09,80,4.11,18.53,-1.74,-0.89
c10,80,4.12,19.43,-1.80,-0.88
c11,80,4.13,18.83,-1.78,-0.87
c12,80,4.14,18.23,-1.76,-0.86
c13,80,4.15,19.13,-1.74,-0.85
c14,80,4.16,18.53,-1.80,-0.90
c15,80,4.10,19.43,-1.78,-0.89
c16,80,4.11,18.83,-1.76,-0.88
c17,80,4.12,18.23,-1.74,-0.87
c01,90,4.13,18.35,-1.80,-0.86
c02,90,4.14,17.75,-1.78,-0.85
c03,90,4.15,18.65,-1.76,-0.90
c04,90,4.16,18.05,-1.74,-0.89
c05,90,4.10,17.45,-1.80,-0.88
c06,90,4.11,18.35,-1.78,-0.87
c07,90,4.12,17.75,-1.76,-0.86
c08,90,4.13,18.65,-1.74,-0.85
c09,90,4.14,18.05,-1.80,-0.90
c10,90,4.15,17.45,-1.78,-0.89
c11,90,4.16,18.35,-1.76,-0.88
c12,90,4.10,17.75,-1.74,-0.87
c13,90,4.11,18.65,-1.80,-0.86
c14,90,4.12,18.05,-1.78,-0.85
c15,90,4.13,17.45,-1.76,-0.90
c16,90,4.14,18.35,-1.74,-0.89
c17,90,4.15,17.75,-1.80,-0.88
c01,100,4.16,17.98,-1.78,-0.87
c02,100,4.10,17.38,-1.76,-0.86
c03,100,4.11,16.78,-1.74,-0.85
c04,100,4.12,17.68,-1.80,-0.90
c05,100,4.13,17.08,-1.78,-0.89
c06,100,4.14,17.98,-1.76,-0.88
c07,100,4.15,17.38,-1.74,-0.87
c08,100,4.16,16.78,-1.80,-0.86
c09,100,4.10,17.68,-1.78,-0.85
c10,100,4.11,17.08,-1.76,-0.90
c11,100,4.12,17.98,-1.74,-0.89
c12,100,4.13,17.38,-1.80,-0.88
c13,100,4.14,16.78,-1.78,-0.87
c14,100,4.15,17.68,-1.76,-0.86
c15,100,4.16,17.08,-1.74,-0.85
c16,100,4.10,17.98,-1.80,-0.90
c17,100,4.11,17.38,-1.78,-0.89
