cell,epoch,contrast_pct,spike_time_ms
c01,0,10,12.500
c02,0,20,49.875
c03,0,30,87.250
c04,0,40,124.625
c05,0,50,162.000
c06,0,10,199.375
c07,0,20,236.750
c08,0,30,274.125
c09,0,40,311.500
c10,0,50,348.875
c11,0,10,386.250
c12,0,20,423.625
c13,0,30,461.000
c14,0,40,498.375
c15,0,50,535.750
c16,0,10,573.125
c17,0,20,610.500
c01,1,30,647.875
c02,1,40,685.250
c03,1,50,722.625
c04,1,10,760.000
c05,1,20,797.375
c06,1,30,834.750
c07,1,40,15.375
c08,1,50,52.750
c09,1,10,90.125
c10,1,20,127.500
c11,1,30,164.875
c12,1,40,202.250
c13,1,50,239.625
c14,1,10,277.000
c15,1,20,314.375
c16,1,30,351.750
c17,1,40,389.125
c01,2,50,426.500
c02,2,10,463.875
c03,2,20,501.250
c04,2,30,538.625
c05,2,40,576.000
c06,2,50,613.375
c07,2,10,650.750
c08,2,20,688.125
c09,2,30,725.500
c10,2,40,762.875
c11,2,50,800.250
c12,2,10,837.625
c13,2,20,18.250
c14,2,30,55.625
c15,2,40,93.000
c16,2,50,130.375
c17,2,10,167.750
c01,3,20,205.125
c02,3,30,242.500
c03,3,40,279.875
c04,3,50,317.250
c05,3,10,354.625
c06,3,20,392.000
c07,3,30,429.375
c08,3,40,466.750
c09,3,50,504.125
c10,3,10,541.500
c11,3,20,578.875
c12,3,30,616.250
c13,3,40,653.625
c14,3,50,691.000
c15,3,10,728.375
c16,3,20,765.750
c17,3,30,803.125
c01,4,40,840.500
c02,4,50,21.125
c03,4,10,58.500
c04,4,20,95.875
c05,4,30,133.250
c06,4,40,170.625
c07,4,50,208.000
c08,4,10,245.375
c09,4,20,282.750
c10,4,30,320.125
c11,4,40,357.500
c12,4,50,394.875
c13,4,10,432.250
c14,4,20,469.625
c15,4,30,507.000
c16,4,40,544.375
c17,4,50,581.750
c01,5,10,619.125
c02,5,20,656.500
c03,5,30,693.875
c04,5,40,731.250
c05,5,50,768.625
c06,5,10,806.000
c07,5,20,843.375
c08,5,30,24.000
c09,5,40,61.375
c10,5,50,98.750
c11,5,10,136.125
c12,5,20,173.500
c13,5,30,210.875
c14,5,40,248.250
c15,5,50,285.625
c16,5,10,323.000
c17,5,20,360.375
c01,6,30,397.750
c02,6,40,435.125
c03,6,50,472.500
c04,6,10,509.875
c05,6,20,547.250
c06,6,30,584.625
c07,6,40,622.000
c08,6,50,659.375
c09,6,10,696.750
c10,6,20,734.125
c11,6,30,771.500
c12,6,40,808.875
c13,6,50,846.250
c14,6,10,26.875
c15,6,20,64.250
c16,6,30,101.625
c17,6,40,139.000
c01,7,50,176.375
c02,7,10,213.750
c03,7,20,251.125
c04,7,30,288.500
c05,7,40,325.875
c06,7,50,363.250
c07,7,10,400.625
c08,7,20,438.000
c09,7,30,475.375
c10,7,40,512.750
c11,7,50,550.125
c12,7,10,587.500
c13,7,20,624.875
c14,7,30,662.250
c15,7,40,699.625
c16,7,50,737.000
c17,7,10,774.375
c01,8,20,811.750
c02,8,30,849.125
c03,8,40,29.750
c04,8,50,67.125
c05,8,10,104.500
c06,8,20,141.875
c07,8,30,179.250
c08,8,40,216.625
c09,8,50,254.000
c10,8,10,291.375
c11,8,20,328.750
c12,8,30,366.125
c13,8,40,403.500
