b,s,temp,pH,growth
0.887006,2.209550,25.901699,7.583005,0.050756
1.674012,1.419100,31.803399,6.166010,0.474513
0.561017,0.628650,37.705098,8.749016,0.043955
1.348023,2.788200,43.606798,7.332021,0.459146
0.235029,1.997749,24.508497,5.915026,0.003964
1.022035,1.207299,30.410197,8.498031,0.072414
1.809040,0.416849,36.311896,7.081037,0.905444
0.696046,2.576399,42.213595,5.664042,0.107007
1.483052,1.785949,23.115295,8.247047,0.009147
0.370058,0.995499,29.016994,6.830052,0.072558
1.157063,0.205049,34.918694,5.413058,0.067582
1.944069,2.364599,40.820393,7.996063,0.639507
0.831075,1.574148,21.722093,6.579068,0.005521
1.618081,0.783698,27.623792,5.162073,0.019453
0.505087,2.943248,33.525492,7.745079,0.242133
1.292092,2.152798,39.427191,6.328084,0.717279
0.179098,1.362348,20.328890,8.911089,0.000046
0.966104,0.571898,26.230590,7.494094,0.047683
1.753110,2.731448,32.132289,6.077100,0.544359
0.640115,1.940998,38.033989,8.660105,0.082653
1.427121,1.150548,43.935688,7.243110,0.385700
0.314127,0.360097,24.837388,5.826115,0.003070
1.101133,2.519647,30.739087,8.409121,0.115571
1.888138,1.729197,36.640786,6.992126,1.542858
0.775144,0.938747,42.542486,5.575131,0.076720
1.562150,0.148297,23.444185,8.158136,0.004373
0.449156,2.307847,29.345885,6.741142,0.114356
1.236162,1.517397,35.247584,5.324147,0.142695
0.123167,0.726947,41.149284,7.907152,0.032492
0.910173,2.886496,22.050983,6.490157,0.007652
1.697179,2.096046,27.952683,5.073163,0.023449
0.584185,1.305596,33.854382,7.656168,0.275078
1.371190,0.515146,39.756081,6.239173,0.448498
0.258196,2.674696,20.657781,8.822178,0.000118
1.045202,1.884246,26.559480,7.405184,0.086492
1.832208,1.093796,32.461180,5.988189,0.446997
0.719213,0.303346,38.362879,8.571194,0.057598
1.506219,2.462896,44.264579,7.154199,0.447955
0.393225,1.672445,25.166278,5.737205,0.006712
1.180231,0.881995,31.067977,8.320210,0.125448
1.967237,0.091545,36.969677,6.903215,0.366496
0.854242,2.251095,42.871376,5.486220,0.078316
1.641248,1.460645,23.773076,8.069226,0.018085
0.528254,0.670195,29.674775,6.652231,0.104865
1.315260,2.829745,35.576475,5.235236,0.140027
0.202265,2.039295,41.478174,7.818241,0.072382
0.989271,1.248844,22.379874,6.401246,0.008175
1.776277,0.458394,28.281573,8.984252,0.015155
0.663283,2.617944,34.183272,7.567257,0.397380
1.450288,1.827494,40.084972,6.150262,0.606470
0.337294,1.037044,20.986671,8.733267,0.000196
1.124300,0.246594,26.888371,7.316273,0.052224
1.911306,2.406144,32.790070,5.899278,0.514261
0.798311,1.615694,38.691770,8.482283,0.139222
1.585317,0.825244,44.593469,7.065288,0.336714
0.472323,2.984793,25.495168,5.648294,0.008756
1.259329,2.194343,31.396868,8.231299,0.205690
0.146335,1.403893,37.298567,6.814304,0.111343
0.933340,0.613443,43.200267,5.397309,0.047182
1.720346,2.772993,24.101966,7.980315,0.028328
0.607352,1.982543,30.003666,6.563320,0.167713
1.394358,1.192093,35.905365,5.146325,0.103615
0.281363,0.401643,41.807065,7.729330,0.062364
1.068369,2.561192,22.708764,6.312336,0.011340
1.855375,1.770742,28.610463,8.895341,0.033884
0.742381,0.980292,34.512163,7.478346,0.397111
1.529386,0.189842,40.413862,6.061351,0.214650
0.416392,2.349392,21.315562,8.644357,0.000429
1.203398,1.558942,27.217261,7.227362,0.135489
1.990404,0.768492,33.118961,5.810367,0.377183
0.877410,2.928042,39.020660,8.393372,0.194523
1.664415,2.137592,44.922359,6.976378,0.403331
0.551421,1.347141,25.824059,5.559383,0.008746
1.338427,0.556691,31.725758,8.142388,0.186273
0.225433,2.716241,37.627458,6.725393,0.185968
1.012438,1.925791,43.529157,5.308399,0.052921
1.799444,1.135341,24.430857,7.891404,0.033350
0.686450,0.344891,30.332556,6.474409,0.109250
1.473456,2.504441,36.234256,5.057414,0.101085
0.360461,1.713991,42.135955,7.640420,0.132261
1.147467,0.923540,23.037654,6.223425,0.010904
1.934473,0.133090,28.939354,8.806430,0.014943
0.821479,2.292640,34.841053,7.389435,0.576352
1.608485,1.502190,40.742753,5.972441,0.477640
0.495490,0.711740,21.644452,8.555446,0.000566
1.282496,2.871290,27.546152,7.138451,0.187304
0.169502,2.080840,33.447851,5.721456,0.037282
0.956508,1.290390,39.349550,8.304461,0.209782
1.743513,0.499940,20.251250,6.887467,0.003504
0.630519,2.659489,26.152949,5.470472,0.010912
1.417525,1.869039,32.054649,8.053477,0.339943
0.304531,1.078589,37.956348,6.636482,0.201274
1.091536,0.288139,43.858048,5.219488,0.021725
1.878542,2.447689,24.759747,7.802493,0.052513
0.765548,1.657239,30.661447,6.385498,0.213659
1.552554,0.866789,36.563146,8.968503,0.079296
0.439560,0.076339,42.464845,7.551509,0.031780
1.226565,2.235888,23.366545,6.134514,0.015413
0.113571,1.445438,29.268244,8.717519,0.003750
0.900577,0.654988,35.169944,7.300524,0.490424
1.687583,2.814538,41.071643,5.883530,0.465882
0.574588,2.024088,21.973343,8.466535,0.001258
1.361594,1.233638,27.875042,7.049540,0.192450
0.248600,0.443188,33.776741,5.632545,0.030443
1.035606,2.602738,39.678441,8.215551,0.288402
1.822611,1.812288,20.580140,6.798556,0.006645
0.709617,1.021837,26.481840,5.381561,0.009830
1.496623,0.231387,32.383539,7.964566,0.193631
0.383629,2.390937,38.285239,6.547572,0.277429
1.170635,1.600487,44.186938,5.130577,0.032710
1.957640,0.810037,25.088638,7.713582,0.054576
0.844646,2.969587,30.990337,6.296587,0.262434
1.631652,2.179137,36.892036,8.879593,0.130049
0.518658,1.388687,42.793736,7.462598,0.177165
1.305663,0.598236,23.695435,6.045603,0.012471
0.192669,2.757786,29.597135,8.628608,0.009572
0.979675,1.967336,35.498834,7.211614,0.752521
1.766681,1.176886,41.400534,5.794619,0.342261
0.653686,0.386436,22.302233,8.377624,0.001207
1.440692,2.545986,28.203932,6.960629,0.267157
