strain,b,s,temp,pH,growth
K12,0.887006,2.209550,25.901699,7.583005,0.051135
K12,1.674012,1.419100,31.803399,6.166010,0.477471
K12,0.561017,0.628650,37.705098,8.749016,0.044033
K12,1.348023,2.788200,43.606798,7.332021,0.454149
K12,0.235029,1.997749,24.508497,5.915026,0.003931
K12,1.022035,1.207299,30.410197,8.498031,0.072477
K12,1.809040,0.416849,36.311896,7.081037,0.916453
K12,0.696046,2.576399,42.213595,5.664042,0.106370
K12,1.483052,1.785949,23.115295,8.247047,0.009135
K12,0.370058,0.995499,29.016994,6.830052,0.072832
K12,1.157063,0.205049,34.918694,5.413058,0.066661
K12,1.944069,2.364599,40.820393,7.996063,0.634906
K12,0.831075,1.574148,21.722093,6.579068,0.005509
K12,1.618081,0.783698,27.623792,5.162073,0.019255
K12,0.505087,2.943248,33.525492,7.745079,0.240666
K12,1.292092,2.152798,39.427191,6.328084,0.723861
K12,0.179098,1.362348,20.328890,8.911089,0.000047
K12,0.966104,0.571898,26.230590,7.494094,0.047120
K12,1.753110,2.731448,32.132289,6.077100,0.542757
K12,0.640115,1.940998,38.033989,8.660105,0.082222
K12,1.427121,1.150548,43.935688,7.243110,0.391310
K12,0.314127,0.360097,24.837388,5.826115,0.003061
K12,1.101133,2.519647,30.739087,8.409121,0.116260
K12,1.888138,1.729197,36.640786,6.992126,1.523252
K12,0.775144,0.938747,42.542486,5.575131,0.075233
K12,1.562150,0.148297,23.444185,8.158136,0.004405
K12,0.449156,2.307847,29.345885,6.741142,0.112888
K12,1.236162,1.517397,35.247584,5.324147,0.140980
K12,0.123167,0.726947,41.149284,7.907152,0.032384
K12,0.910173,2.886496,22.050983,6.490157,0.007762
K12,1.697179,2.096046,27.952683,5.073163,0.023141
K12,0.584185,1.305596,33.854382,7.656168,0.276686
K12,1.371190,0.515146,39.756081,6.239173,0.447350
K12,0.258196,2.674696,20.657781,8.822178,0.000117
K12,1.045202,1.884246,26.559480,7.405184,0.088023
K12,1.832208,1.093796,32.461180,5.988189,0.452047
K12,0.719213,0.303346,38.362879,8.571194,0.057216
K12,1.506219,2.462896,44.264579,7.154199,0.447752
K12,0.393225,1.672445,25.166278,5.737205,0.006643
K12,1.180231,0.881995,31.067977,8.320210,0.126023
K12,1.967237,0.091545,36.969677,6.903215,0.363431
K12,0.854242,2.251095,42.871376,5.486220,0.078293
K12,1.641248,1.460645,23.773076,8.069226,0.018012
K12,0.528254,0.670195,29.674775,6.652231,0.103401
K12,1.315260,2.829745,35.576475,5.235236,0.138593
K12,0.202265,2.039295,41.478174,7.818241,0.072453
K12,0.989271,1.248844,22.379874,6.401246,0.008267
K12,1.776277,0.458394,28.281573,8.984252,0.015004
K12,0.663283,2.617944,34.183272,7.567257,0.392914
K12,1.450288,1.827494,40.084972,6.150262,0.605849
K12,0.337294,1.037044,20.986671,8.733267,0.000195
K12,1.124300,0.246594,26.888371,7.316273,0.051736
K12,1.911306,2.406144,32.790070,5.899278,0.509381
K12,0.798311,1.615694,38.691770,8.482283,0.138669
K12,1.585317,0.825244,44.593469,7.065288,0.336129
K12,0.472323,2.984793,25.495168,5.648294,0.008770
K12,1.259329,2.194343,31.396868,8.231299,0.206415
K12,0.146335,1.403893,37.298567,6.814304,0.112019
K12,0.933340,0.613443,43.200267,5.397309,0.047543
K12,1.720346,2.772993,24.101966,7.980315,0.028240
B,0.887006,2.209550,25.901699,7.583005,0.116541
B,1.674012,1.419100,31.803399,6.166010,0.476989
B,0.561017,0.628650,37.705098,8.749016,0.019376
B,1.348023,2.788200,43.606798,7.332021,0.088197
B,0.235029,1.997749,24.508497,5.915026,0.011018
B,1.022035,1.207299,30.410197,8.498031,0.088846
B,1.809040,0.416849,36.311896,7.081037,0.483268
B,0.696046,2.576399,42.213595,5.664042,0.024810
B,1.483052,1.785949,23.115295,8.247047,0.030582
B,0.370058,0.995499,29.016994,6.830052,0.107097
B,1.157063,0.205049,34.918694,5.413058,0.043995
B,1.944069,2.364599,40.820393,7.996063,0.181220
B,0.831075,1.574148,21.722093,6.579068,0.022764
B,1.618081,0.783698,27.623792,5.162073,0.035264
B,0.505087,2.943248,33.525492,7.745079,0.188964
B,1.292092,2.152798,39.427191,6.328084,0.246127
B,0.179098,1.362348,20.328890,8.911089,0.000232
B,0.966104,0.571898,26.230590,7.494094,0.103909
B,1.753110,2.731448,32.132289,6.077100,0.513746
B,0.640115,1.940998,38.033989,8.660105,0.034977
B,1.427121,1.150548,43.935688,7.243110,0.072160
B,0.314127,0.360097,24.837388,5.826115,0.008142
B,1.101133,2.519647,30.739087,8.409121,0.135917
B,1.888138,1.729197,36.640786,6.992126,0.786415
