t,x,v,a
4.142136,0.928203,-1.583592,-2.233574
8.284271,-0.143594,-0.167184,0.438726
2.426407,-1.215390,1.249224,3.681740
6.568542,1.712813,2.665631,-8.210572
0.710678,0.641016,-1.917961,-1.107990
4.852814,-0.430781,-0.501553,1.308986
8.994949,-1.502577,0.914855,5.459287
3.137085,1.425626,2.331263,-6.121105
7.279221,0.353829,-2.252329,-0.108803
1.421356,-0.717968,-0.835921,2.311094
5.563492,-1.789764,0.580487,7.730766
9.705627,1.138439,1.996894,-4.427202
3.847763,0.066642,-2.586698,0.738028
7.989899,-1.005155,-1.170290,3.525252
2.132034,1.923048,0.246118,-9.159674
6.274170,0.851252,1.662526,-3.090849
0.416306,-0.220545,-2.921066,1.588771
4.558441,-1.292342,-1.504658,5.037248
8.700577,1.635861,-0.088251,-6.693807
2.842712,0.564065,1.328157,-1.967827
6.984848,-0.507732,2.744565,0.377035
1.126984,-1.579529,-1.839027,6.948195
5.269119,1.348674,-0.422619,-4.712325
9.411255,0.276878,0.993789,-1.067383
3.553391,-0.794919,2.410197,1.441929
7.695526,-1.866716,-2.173396,9.326381
1.837662,1.061487,-0.756988,-3.100947
5.979797,-0.010310,0.659420,-0.210416
0.121933,-1.082106,2.075828,2.758019
4.264069,1.846097,-2.507764,-7.495559
8.406204,0.774300,-1.091356,-1.815771
2.548340,-0.297497,0.325052,0.637562
6.690476,-1.369293,1.741460,4.335831
0.832611,1.558910,-2.842133,-5.171459
4.974747,0.487113,-1.425725,-0.802962
9.116882,-0.584684,-0.009317,1.582467
3.259018,-1.656480,1.407091,6.361647
7.401154,1.271723,2.823499,-5.420960
1.543289,0.199926,-1.760093,0.127726
5.685425,-0.871871,-0.343685,2.690395
9.827561,-1.943668,1.072722,8.885357
3.969696,0.984536,2.489130,-3.925124
8.111832,-0.087261,-2.094462,0.954349
2.253967,-1.159058,-0.678054,4.052882
6.396103,1.769145,0.738354,-7.998615
0.538239,0.697349,2.154762,-2.705695
4.680374,-0.374448,-2.428830,1.797852
8.822510,-1.446245,-1.012422,5.792382
2.964646,1.481958,0.403985,-5.794789
7.106781,0.410162,1.820393,-1.691840
1.248917,-0.661635,-2.763199,2.779558
5.391052,-1.733432,-1.346791,7.911735
9.533188,1.194771,0.069617,-4.046507
3.675324,0.122974,1.486025,-0.848531
7.817459,-0.948822,2.902433,1.859838
1.959595,1.979381,-1.681160,-9.011692
6.101731,0.907584,-0.264752,-2.623802
0.243866,-0.164213,1.151656,0.007175
4.386002,-1.236009,2.568064,3.336699
8.528137,1.692194,-2.015528,-6.444173
2.670273,0.620397,-0.599120,-1.466916
6.812409,-0.451400,0.817288,0.895727
0.954544,-1.523196,2.233695,5.163047
5.096680,1.405007,-2.349897,-4.340428
9.238816,0.333210,-0.933489,-0.546421
3.380951,-0.738587,0.482919,1.904270
7.523087,-1.810384,1.899327,7.401365
1.665222,1.117820,-2.684265,-2.690455
5.807358,0.046023,-1.267857,0.325957
9.949494,-1.025774,0.148551,3.169201
4.091629,1.902429,1.564958,-9.453971
8.233765,0.830633,2.981366,-3.445511
2.375901,-0.241164,-1.602226,1.164558
6.518036,-1.312961,-0.185818,4.685832
0.660172,1.615242,1.230590,-6.994077
4.802307,0.543446,2.646998,-2.385988
8.944443,-0.528351,-1.936594,2.103808
3.086579,-1.600148,-0.520187,6.638912
7.228714,1.328055,0.896221,-5.043036
1.370850,0.256258,2.312629,-1.459054
